workload,accesses_observed,top1_accuracy,average_memory_latency,average_access_latency,speedup_over_none,prefetch_precision
PhaseChanging,36,1.0,16.166666666666668,20.11111111111111,0.8038674033149171,0.0
PhaseChanging,72,1.0,10.083333333333334,14.055555555555555,0.717391304347826,0.0
PhaseChanging,108,1.0,8.055555555555555,12.037037037037036,0.6692307692307692,0.0
PhaseChanging,144,1.0,7.041666666666667,11.027777777777779,0.6385390428211587,0.0
PhaseChanging,180,1.0,6.433333333333334,10.422222222222222,0.6172707889125799,0.0
PhaseChanging,216,0.9904761904761905,7.37962962962963,11.37037037037037,0.6490228013029316,0.0
PhaseChanging,252,0.991869918699187,6.896825396825397,10.88888888888889,0.6333819241982507,0.0
PhaseChanging,288,0.9929078014184397,6.534722222222222,10.527777777777779,0.6207124010554089,0.0
PhaseChanging,324,0.9937106918238994,6.253086419753086,10.246913580246913,0.6102409638554217,0.0
PhaseChanging,360,0.9943502824858758,6.027777777777778,10.022222222222222,0.6014412416851441,0.0
