dram_latency,threshold,accuracy,speedup,average_access_latency,prefetch_precision
150,0.0,0.8990825688073395,0.9239130434782609,10.128440366972477,1.0
150,0.25,0.8990825688073395,0.9239130434782609,10.128440366972477,1.0
150,0.5,0.8990825688073395,0.816,11.46788990825688,1.0
150,0.65,0.8990825688073395,0.816,11.46788990825688,1.0
150,0.8,1.0,0.8186195826645265,11.431192660550458,1.0
150,0.9,1.0,0.8186195826645265,11.431192660550458,1.0
300,0.0,0.8990825688073395,1.0424710424710424,14.256880733944953,1.0
300,0.25,0.8990825688073395,1.0424710424710424,14.256880733944953,1.0
300,0.5,0.8990825688073395,0.8756756756756757,16.972477064220183,1.0
300,0.65,0.8990825688073395,0.8756756756756757,16.972477064220183,1.0
300,0.8,1.0,0.8775731310942578,16.93577981651376,1.0
300,0.9,1.0,0.8775731310942578,16.93577981651376,1.0
