workload,predictor,trial,mode,threshold,alpha,top_k,total_accesses,l1_hit_rate,l2_hit_rate,l3_hit_rate,dram_access_rate,total_cycles,raw_memory_cycles,average_memory_latency,average_access_latency,top1_accuracy,topk_accuracy,prediction_attempts,prefetch_requests,prefetches_issued,prefetches_completed,dropped_prefetches,useful_prefetches,late_prefetches,unused_prefetches,duplicate_prefetches,prefetch_precision,prefetch_coverage,bandwidth_bytes,pollution_misses,cache_evictions_caused_by_prefetching,predictor_lookup_overhead,predictor_update_overhead,prefetch_overhead,latency_saved_by_useful_prefetches,net_latency_benefit,entries,nodes,edges,counters,weights,estimated_bytes,bytes_per_transition,speedup_over_none,speedup_over_nextline,speedup_over_stride,speedup_over_markov
Repeating,None,0,train_test,0.05,0.25,3,109,0.963302752293578,0.0,0.0,0.03669724770642202,1020,1020,9.357798165137615,9.357798165137615,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,1.119607843137255,1.119607843137255,1.1225490196078431
Repeating,NextLine,0,train_test,0.05,0.25,3,109,0.9908256880733946,0.0,0.0,0.009174311926605505,1142,582,5.339449541284404,10.477064220183486,0.7522935779816514,0.7522935779816514,109,109,4,4,0,3,3,1,105,0.75,0.75,32,0,0,109,0,4,0,-1,0,0,0,0,0,0,0.0,0.8931698774080561,1.0,1.0,1.0026269702276707
Repeating,Stride,0,train_test,0.05,0.25,3,109,0.9908256880733946,0.0,0.0,0.009174311926605505,1142,582,5.339449541284404,10.477064220183486,0.7522935779816514,0.7522935779816514,109,109,4,4,0,3,3,1,105,0.75,0.75,32,0,0,109,0,4,0,-1,1,1,1,1,0,16,16.0,0.8931698774080561,1.0,1.0,1.0026269702276707
Repeating,Markov-1,0,train_test,0.05,0.25,3,109,1.0,0.0,0.0,0.0,1145,436,4.0,10.504587155963304,1.0,1.0,109,109,4,4,0,4,4,0,105,1.0,1.0,32,0,0,109,0,4,0,0,4,4,4,4,4,96,24.0,0.8908296943231441,0.9973799126637555,0.9973799126637555,1.0
Repeating,WAM depth=1,0,train_test,0.05,0.25,3,109,1.0,0.0,0.0,0.0,1145,436,4.0,10.504587155963304,1.0,1.0,109,109,4,4,0,4,4,0,105,1.0,1.0,32,0,0,109,0,4,0,0,4,5,4,4,4,96,24.0,0.8908296943231441,0.9973799126637555,0.9973799126637555,1.0
Repeating,WAM depth=2,0,train_test,0.05,0.25,3,109,1.0,0.0,0.0,0.0,1254,436,4.0,11.504587155963304,1.0,1.0,109,109,4,4,0,4,4,0,105,1.0,1.0,32,0,0,218,0,4,0,0,8,9,8,8,8,192,24.0,0.8133971291866029,0.9106858054226475,0.9106858054226475,0.9130781499202552
Repeating,WAM depth=3,0,train_test,0.05,0.25,3,109,1.0,0.0,0.0,0.0,1363,436,4.0,12.504587155963304,1.0,1.0,109,109,4,4,0,4,4,0,105,1.0,1.0,32,0,0,327,0,4,0,0,12,13,12,12,12,288,24.0,0.7483492296404989,0.8378576669112252,0.8378576669112252,0.8400586940572267
Repeating,WAM depth=4,0,train_test,0.05,0.25,3,109,1.0,0.0,0.0,0.0,1472,436,4.0,13.504587155963304,1.0,1.0,109,109,4,4,0,4,4,0,105,1.0,1.0,32,0,0,436,0,4,0,0,16,17,16,16,16,384,24.0,0.6929347826086957,0.7758152173913043,0.7758152173913043,0.7778532608695652
Repeating,WAM depth=8,0,train_test,0.05,0.25,3,109,1.0,0.0,0.0,0.0,1908,436,4.0,17.504587155963304,1.0,1.0,109,109,4,4,0,4,4,0,105,1.0,1.0,32,0,0,872,0,4,0,0,32,33,32,32,32,768,24.0,0.5345911949685535,0.5985324947589099,0.5985324947589099,0.600104821802935
Contextual,None,0,train_test,0.05,0.25,3,109,0.9541284403669725,0.0,0.0,0.045871559633027525,1166,1166,10.697247706422019,10.697247706422019,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.9742710120068611,1.0934819897084047,0.9828473413379074
Contextual,NextLine,0,train_test,0.05,0.25,3,109,0.9724770642201835,0.0,0.0,0.027522935779816515,1136,874,8.01834862385321,10.422018348623853,0.1651376146788991,0.1651376146788991,109,109,4,4,0,2,1,2,105,0.5,0.4,32,0,0,109,0,4,146,144,0,0,0,0,0,0,0.0,1.0264084507042253,1.0,1.1223591549295775,1.0088028169014085
Contextual,Stride,0,train_test,0.05,0.25,3,109,0.9541284403669725,0.0,0.0,0.045871559633027525,1275,1166,10.697247706422019,11.697247706422019,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,109,0,0,0,0,1,1,1,1,0,16,16.0,0.9145098039215687,0.8909803921568628,1.0,0.8988235294117647
Contextual,Markov-1,0,train_test,0.05,0.25,3,109,1.0,0.0,0.0,0.0,1146,436,4.0,10.513761467889909,0.8256880733944955,1.0,109,146,5,5,0,5,4,0,141,1.0,1.0,40,0,0,109,0,5,146,146,6,5,6,6,6,144,24.0,1.0174520069808028,0.9912739965095986,1.112565445026178,1.0
Contextual,WAM depth=1,0,train_test,0.05,0.25,3,109,1.0,0.0,0.0,0.0,1146,436,4.0,10.513761467889909,0.8256880733944955,1.0,109,146,5,5,0,5,4,0,141,1.0,1.0,40,0,0,109,0,5,146,146,5,6,5,5,5,120,24.0,1.0174520069808028,0.9912739965095986,1.112565445026178,1.0
Contextual,WAM depth=2,0,train_test,0.05,0.25,3,109,1.0,0.0,0.0,0.0,1404,436,4.0,12.880733944954128,1.0,1.0,109,109,5,5,0,5,5,0,104,1.0,1.0,40,0,0,218,0,5,0,0,11,12,11,11,11,264,24.0,0.8304843304843305,0.8091168091168092,0.9081196581196581,0.8162393162393162
Contextual,WAM depth=3,0,train_test,0.05,0.25,3,109,1.0,0.0,0.0,0.0,1513,436,4.0,13.880733944954128,1.0,1.0,109,109,5,5,0,5,5,0,104,1.0,1.0,40,0,0,327,0,5,0,0,17,18,17,17,17,408,24.0,0.7706543291473893,0.7508261731658956,0.8426966292134831,0.7574355584930601
Contextual,WAM depth=4,0,train_test,0.05,0.25,3,109,1.0,0.0,0.0,0.0,1622,436,4.0,14.880733944954128,1.0,1.0,109,109,5,5,0,5,5,0,104,1.0,1.0,40,0,0,436,0,5,0,0,23,24,23,23,23,552,24.0,0.718865598027127,0.7003699136868065,0.7860665844636252,0.7065351418002466
Contextual,WAM depth=8,0,train_test,0.05,0.25,3,109,1.0,0.0,0.0,0.0,2058,436,4.0,18.880733944954127,1.0,1.0,109,109,5,5,0,5,5,0,104,1.0,1.0,40,0,0,872,0,5,0,0,47,48,47,47,47,1128,24.0,0.5665694849368319,0.5519922254616132,0.619533527696793,0.5568513119533528
LongerDependency,None,0,train_test,0.05,0.25,3,109,0.9357798165137615,0.0,0.0,0.06422018348623854,1458,1458,13.376146788990825,13.376146788990825,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.9732510288065843,1.0747599451303156,0.9910836762688614
LongerDependency,NextLine,0,train_test,0.05,0.25,3,109,0.981651376146789,0.0,0.0,0.01834862385321101,1419,728,6.678899082568807,13.01834862385321,0.5045871559633027,0.5045871559633027,109,109,7,7,0,5,4,2,102,0.7142857142857143,0.7142857142857143,56,0,0,109,0,7,164,162,0,0,0,0,0,0,0.0,1.0274841437632136,1.0,1.1042988019732205,1.018322762508809
LongerDependency,Stride,0,train_test,0.05,0.25,3,109,0.9357798165137615,0.0,0.0,0.06422018348623854,1567,1458,13.376146788990825,14.376146788990825,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,109,0,0,0,0,1,1,1,1,0,16,16.0,0.9304403318442884,0.9055520102105935,1.0,0.9221442246330568
