workload,category,window,window_index,agreement_rate,disagreement_rate,only_gmc_rate,only_wam_rate,wam_wins_disagreements,gmc_wins_disagreements,both_wrong_disagreements,joint_predictions
pointer_chase_size65536_seed1_loads,pointer_chasing,1000,1,1.0,0.0,0.0,0.617,0,0,367,367
pointer_chase_size65536_seed1_loads,pointer_chasing,1000,2,1.0,0.0,0.0,0.611,0,0,373,373
pointer_chase_size65536_seed2_loads,pointer_chasing,100,0,0.0,0.0,0.0,0.84,0,0,0,0
pointer_chase_size65536_seed2_loads,pointer_chasing,100,1,1.0,0.0,0.0,0.55,0,0,29,29
pointer_chase_size65536_seed2_loads,pointer_chasing,100,2,1.0,0.0,0.0,0.79,0,0,5,5
pointer_chase_size65536_seed2_loads,pointer_chasing,500,0,1.0,0.0,0.0,0.84,0,0,64,64
pointer_chase_size65536_seed2_loads,pointer_chasing,500,1,1.0,0.0,0.0,0.776,0,0,96,96
pointer_chase_size65536_seed2_loads,pointer_chasing,500,2,1.0,0.0,0.0,0.83,0,0,69,69
pointer_chase_size65536_seed2_loads,pointer_chasing,1000,0,1.0,0.0,0.0,0.824,0,0,160,160
pointer_chase_size65536_seed2_loads,pointer_chasing,1000,1,1.0,0.0,0.0,0.792,0,0,192,192
pointer_chase_size65536_seed2_loads,pointer_chasing,1000,2,1.0,0.0,0.0,0.819,0,0,165,165
pointer_chase_size65536_seed3_loads,pointer_chasing,100,0,1.0,0.0,0.0,0.0,0,0,84,84
pointer_chase_size65536_seed3_loads,pointer_chasing,100,1,1.0,0.0,0.0,0.01,0,0,83,83
pointer_chase_size65536_seed3_loads,pointer_chasing,100,2,1.0,0.0,0.0,0.01,0,0,83,83
pointer_chase_size65536_seed3_loads,pointer_chasing,500,0,1.0,0.0,0.0,0.0,0,0,484,484
pointer_chase_size65536_seed3_loads,pointer_chasing,500,1,1.0,0.0,0.0,0.002,0,0,483,483
pointer_chase_size65536_seed3_loads,pointer_chasing,500,2,1.0,0.0,0.0,0.002,0,0,483,483
pointer_chase_size65536_seed3_loads,pointer_chasing,1000,0,1.0,0.0,0.0,0.0,0,0,984,984
pointer_chase_size65536_seed3_loads,pointer_chasing,1000,1,1.0,0.0,0.0,0.001,0,0,983,983
pointer_chase_size65536_seed3_loads,pointer_chasing,1000,2,1.0,0.0,0.0,0.001,0,0,983,983
pointer_chase_size65536_seed4_loads,pointer_chasing,100,0,0.0,0.0,0.0,0.84,0,0,0,0
pointer_chase_size65536_seed4_loads,pointer_chasing,100,1,0.0,1.0,0.0,0.83,0,0,1,1
pointer_chase_size65536_seed4_loads,pointer_chasing,100,2,0.0,1.0,0.0,0.83,0,0,1,1
pointer_chase_size65536_seed4_loads,pointer_chasing,500,0,0.9696969696969697,0.030303030303030304,0.0,0.902,0,0,33,33
pointer_chase_size65536_seed4_loads,pointer_chasing,500,1,0.9696969696969697,0.030303030303030304,0.0,0.902,0,0,33,33
pointer_chase_size65536_seed4_loads,pointer_chasing,500,2,0.9696969696969697,0.030303030303030304,0.0,0.902,0,0,33,33
pointer_chase_size65536_seed4_loads,pointer_chasing,1000,0,0.9696969696969697,0.030303030303030304,0.0,0.918,0,0,66,66
pointer_chase_size65536_seed4_loads,pointer_chasing,1000,1,0.9696969696969697,0.030303030303030304,0.0,0.918,0,0,66,66
pointer_chase_size65536_seed4_loads,pointer_chasing,1000,2,0.9696969696969697,0.030303030303030304,0.0,0.918,0,0,66,66
quicksort_size65536_seed0_loads,sorting,100,0,0.0,0.0,0.02,0.1,0,0,0,0
quicksort_size65536_seed0_loads,sorting,100,1,0.0,0.0,0.07,0.01,0,0,0,0
quicksort_size65536_seed0_loads,sorting,100,2,0.0,0.0,0.1,0.01,0,0,0,0
quicksort_size65536_seed0_loads,sorting,500,0,0.0,0.0,0.084,0.02,0,0,0,0
quicksort_size65536_seed0_loads,sorting,500,1,0.0,0.0,0.064,0.002,0,0,0,0
quicksort_size65536_seed0_loads,sorting,500,2,0.0,0.0,0.072,0.002,0,0,0,0
quicksort_size65536_seed0_loads,sorting,1000,0,0.0,0.0,0.084,0.01,0,0,0,0
quicksort_size65536_seed0_loads,sorting,1000,1,0.0,0.0,0.089,0.001,0,0,0,0
quicksort_size65536_seed0_loads,sorting,1000,2,0.0,0.0,0.07,0.001,0,0,0,0
quicksort_size65536_seed1_loads,sorting,100,0,0.0,0.0,0.02,0.1,0,0,0,0
quicksort_size65536_seed1_loads,sorting,100,1,0.0,0.0,0.07,0.01,0,0,0,0
quicksort_size65536_seed1_loads,sorting,100,2,0.0,0.0,0.1,0.01,0,0,0,0
quicksort_size65536_seed1_loads,sorting,500,0,0.0,0.0,0.084,0.02,0,0,0,0
quicksort_size65536_seed1_loads,sorting,500,1,0.0,0.0,0.064,0.002,0,0,0,0
quicksort_size65536_seed1_loads,sorting,500,2,0.0,0.0,0.072,0.002,0,0,0,0
quicksort_size65536_seed1_loads,sorting,1000,0,0.0,0.0,0.084,0.01,0,0,0,0
quicksort_size65536_seed1_loads,sorting,1000,1,0.0,0.0,0.089,0.001,0,0,0,0
quicksort_size65536_seed1_loads,sorting,1000,2,0.0,0.0,0.07,0.001,0,0,0,0
quicksort_size65536_seed2_loads,sorting,100,0,0.0,0.0,0.55,0.0,0,0,0,0
quicksort_size65536_seed2_loads,sorting,100,1,0.0,0.0,0.42,0.0,0,0,0,0
quicksort_size65536_seed2_loads,sorting,100,2,0.0,0.0,0.49,0.0,0,0,0,0
quicksort_size65536_seed2_loads,sorting,500,0,0.0,0.0,0.546,0.0,0,0,0,0
quicksort_size65536_seed2_loads,sorting,500,1,0.0,0.0,0.482,0.0,0,0,0,0
quicksort_size65536_seed2_loads,sorting,500,2,0.0,0.0,0.53,0.0,0,0,0,0
quicksort_size65536_seed2_loads,sorting,1000,0,0.0,0.0,0.575,0.0,0,0,0,0
quicksort_size65536_seed2_loads,sorting,1000,1,0.0,0.0,0.519,0.0,0,0,0,0
quicksort_size65536_seed2_loads,sorting,1000,2,0.0,0.0,0.473,0.0,0,0,0,0
quicksort_size65536_seed3_loads,sorting,100,0,0.0,0.0,0.31,0.0,0,0,0,0
quicksort_size65536_seed3_loads,sorting,100,1,0.0,0.0,0.29,0.0,0,0,0,0
quicksort_size65536_seed3_loads,sorting,100,2,0.0,0.0,0.21,0.0,0,0,0,0
quicksort_size65536_seed3_loads,sorting,500,0,0.0,0.0,0.374,0.0,0,0,0,0
quicksort_size65536_seed3_loads,sorting,500,1,0.0,0.0,0.34,0.0,0,0,0,0
quicksort_size65536_seed3_loads,sorting,500,2,0.0,0.0,0.322,0.0,0,0,0,0
quicksort_size65536_seed3_loads,sorting,1000,0,0.0,0.0,0.396,0.0,0,0,0,0
quicksort_size65536_seed3_loads,sorting,1000,1,0.0,0.0,0.352,0.0,0,0,0,0
quicksort_size65536_seed3_loads,sorting,1000,2,0.0,0.0,0.339,0.0,0,0,0,0
quicksort_size65536_seed4_loads,sorting,100,0,0.0,0.0,0.2,0.04,0,0,0,0
quicksort_size65536_seed4_loads,sorting,100,1,0.0,0.0,0.23,0.0,0,0,0,0
quicksort_size65536_seed4_loads,sorting,100,2,0.0,0.0,0.14,0.0,0,0,0,0
quicksort_size65536_seed4_loads,sorting,500,0,0.0,0.0,0.284,0.008,0,0,0,0
quicksort_size65536_seed4_loads,sorting,500,1,0.0,0.0,0.276,0.0,0,0,0,0
quicksort_size65536_seed4_loads,sorting,500,2,0.0,0.0,0.286,0.0,0,0,0,0
quicksort_size65536_seed4_loads,sorting,1000,0,0.0,0.0,0.285,0.004,0,0,0,0
quicksort_size65536_seed4_loads,sorting,1000,1,0.0,0.0,0.28,0.0,0,0,0,0
quicksort_size65536_seed4_loads,sorting,1000,2,0.0,0.0,0.286,0.0,0,0,0,0
stride_size524288_seed0_loads,sequential_control,100,0,0.0,0.0,0.84,0.0,0,0,0,0
stride_size524288_seed0_loads,sequential_control,100,1,0.0,0.0,0.83,0.0,0,0,0,0
stride_size524288_seed0_loads,sequential_control,100,2,0.0,0.0,0.83,0.0,0,0,0,0
stride_size524288_seed0_loads,sequential_control,500,0,0.0,0.0,0.968,0.0,0,0,0,0
stride_size524288_seed0_loads,sequential_control,500,1,0.0,0.0,0.966,0.0,0,0,0,0
stride_size524288_seed0_loads,sequential_control,500,2,0.0,0.0,0.966,0.0,0,0,0,0
stride_size524288_seed0_loads,sequential_control,1000,0,0.0,0.0,0.984,0.0,0,0,0,0
stride_size524288_seed0_loads,sequential_control,1000,1,0.0,0.0,0.983,0.0,0,0,0,0
stride_size524288_seed0_loads,sequential_control,1000,2,0.0,0.0,0.983,0.0,0,0,0,0
