workload,category,window,window_index,agreement_rate,disagreement_rate,only_gmc_rate,only_wam_rate,wam_wins_disagreements,gmc_wins_disagreements,both_wrong_disagreements,joint_predictions
graph_bfs_size65536_seed1_loads,graph,100,0,0.01818181818181818,0.9818181818181818,0.11,0.09,0,0,55,55
graph_bfs_size65536_seed1_loads,graph,100,1,0.11538461538461539,0.8846153846153846,0.13,0.1,0,0,52,52
graph_bfs_size65536_seed1_loads,graph,100,2,0.08,0.92,0.39,0.07,0,0,25,25
graph_bfs_size65536_seed1_loads,graph,500,0,0.09584664536741214,0.9041533546325878,0.126,0.108,0,0,313,313
graph_bfs_size65536_seed1_loads,graph,500,1,0.14,0.86,0.25,0.106,0,0,250,250
graph_bfs_size65536_seed1_loads,graph,500,2,0.14814814814814814,0.8518518518518519,0.372,0.09,0,0,189,189
graph_bfs_size65536_seed1_loads,graph,1000,0,0.08661417322834646,0.9133858267716536,0.13,0.109,0,0,635,635
graph_bfs_size65536_seed1_loads,graph,1000,1,0.16363636363636364,0.8363636363636363,0.213,0.108,0,0,550,550
graph_bfs_size65536_seed1_loads,graph,1000,2,0.14215686274509803,0.8578431372549019,0.354,0.098,0,0,408,408
graph_bfs_size65536_seed2_loads,graph,100,0,0.01818181818181818,0.9818181818181818,0.11,0.09,0,0,55,55
graph_bfs_size65536_seed2_loads,graph,100,1,0.11538461538461539,0.8846153846153846,0.13,0.1,0,0,52,52
graph_bfs_size65536_seed2_loads,graph,100,2,0.08,0.92,0.39,0.07,0,0,25,25
graph_bfs_size65536_seed2_loads,graph,500,0,0.09584664536741214,0.9041533546325878,0.126,0.108,0,0,313,313
graph_bfs_size65536_seed2_loads,graph,500,1,0.14,0.86,0.25,0.106,0,0,250,250
graph_bfs_size65536_seed2_loads,graph,500,2,0.14814814814814814,0.8518518518518519,0.372,0.09,0,0,189,189
graph_bfs_size65536_seed2_loads,graph,1000,0,0.08661417322834646,0.9133858267716536,0.13,0.109,0,0,635,635
graph_bfs_size65536_seed2_loads,graph,1000,1,0.16363636363636364,0.8363636363636363,0.213,0.108,0,0,550,550
graph_bfs_size65536_seed2_loads,graph,1000,2,0.14215686274509803,0.8578431372549019,0.354,0.098,0,0,408,408
graph_bfs_size65536_seed3_loads,graph,100,0,0.01818181818181818,0.9818181818181818,0.11,0.09,0,0,55,55
graph_bfs_size65536_seed3_loads,graph,100,1,0.11538461538461539,0.8846153846153846,0.13,0.1,0,0,52,52
graph_bfs_size65536_seed3_loads,graph,100,2,0.08,0.92,0.39,0.07,0,0,25,25
graph_bfs_size65536_seed3_loads,graph,500,0,0.09584664536741214,0.9041533546325878,0.126,0.108,0,0,313,313
graph_bfs_size65536_seed3_loads,graph,500,1,0.14,0.86,0.25,0.106,0,0,250,250
graph_bfs_size65536_seed3_loads,graph,500,2,0.14814814814814814,0.8518518518518519,0.372,0.09,0,0,189,189
graph_bfs_size65536_seed3_loads,graph,1000,0,0.08661417322834646,0.9133858267716536,0.13,0.109,0,0,635,635
graph_bfs_size65536_seed3_loads,graph,1000,1,0.16363636363636364,0.8363636363636363,0.213,0.108,0,0,550,550
graph_bfs_size65536_seed3_loads,graph,1000,2,0.14215686274509803,0.8578431372549019,0.354,0.098,0,0,408,408
graph_bfs_size65536_seed4_loads,graph,100,0,0.01818181818181818,0.9818181818181818,0.11,0.09,0,0,55,55
graph_bfs_size65536_seed4_loads,graph,100,1,0.11538461538461539,0.8846153846153846,0.13,0.1,0,0,52,52
graph_bfs_size65536_seed4_loads,graph,100,2,0.08,0.92,0.39,0.07,0,0,25,25
graph_bfs_size65536_seed4_loads,graph,500,0,0.09584664536741214,0.9041533546325878,0.126,0.108,0,0,313,313
graph_bfs_size65536_seed4_loads,graph,500,1,0.14,0.86,0.25,0.106,0,0,250,250
graph_bfs_size65536_seed4_loads,graph,500,2,0.14814814814814814,0.8518518518518519,0.372,0.09,0,0,189,189
graph_bfs_size65536_seed4_loads,graph,1000,0,0.08661417322834646,0.9133858267716536,0.13,0.109,0,0,635,635
graph_bfs_size65536_seed4_loads,graph,1000,1,0.16363636363636364,0.8363636363636363,0.213,0.108,0,0,550,550
graph_bfs_size65536_seed4_loads,graph,1000,2,0.14215686274509803,0.8578431372549019,0.354,0.098,0,0,408,408
graph_dfs_size16384_seed0_loads,graph,100,0,0.5,0.5,0.0,0.78,0,0,6,6
