window,windows,gmc_geomean,wam_geomean,oracle_hybrid_geomean,oracle_incremental_gain_over_gmc,wam_selected_fraction,wam_gain_attributed_fraction
100,111,1.3338072320788221,1.1957006422187493,1.4960044212926071,0.12160467068467651,0.5135135135135135,1.0
500,111,1.4189066491132305,1.133489321497937,1.5208286125854287,0.07183133826026955,0.42342342342342343,1.0
1000,111,1.419810861348623,1.1054486188942714,1.4989761195772884,0.05575760855461365,0.4144144144144144,1.0
