workload,category,window,window_index,window_accesses,gmc_speedup,wam_speedup,difference,winner,margin,gmc_cycles,wam_cycles,baseline_cycles,gmc_confidence,wam_confidence,gmc_start_confidence,wam_start_confidence,gmc_accuracy,wam_accuracy,gmc_prefetch_precision,wam_prefetch_precision,gmc_coverage,wam_coverage,gmc_late_prefetch_rate,wam_late_prefetch_rate,gmc_cache_pollution,wam_cache_pollution,gmc_bandwidth_bytes,wam_bandwidth_bytes,gmc_useful_rate,wam_useful_rate,gmc_storage_bytes,wam_storage_bytes,context_reuse_depth16,context_entropy_depth1,context_entropy_depth16,entropy_reduction,h16_contexts,stride_stability,delta_entropy,sequential_fraction,unique_lines,mean_reuse_distance,median_reuse_distance,same_address_fraction,history_length,context_reuse_observations,offset,h1_oracle_accuracy,h8_oracle_accuracy,h16_oracle_accuracy,h32_oracle_accuracy,agreement_rate,disagreement_rate,only_gmc_rate,only_wam_rate,wam_wins_disagreements,gmc_wins_disagreements,both_wrong_disagreements,joint_predictions
binary_tree_size65536_seed0_loads,tree,100,0,100,1.2899983246775004,1.2919463087248322,0.0019479840473317633,WAM,0.0019479840473317633,5969,5960,7700,0.74,0.6909370636709602,1.0,0.7142857142857143,0.07142857142857142,0.11904761904761904,0.5714285714285714,1.0,0.21,0.12,0.0,0.0,0,0,168,96,0.5714285714285714,1.0,8192,81552,0.01,0.09148628630581251,0.08402933531721606,0.0074569509885964586,477.0,0.12506253126563283,5.2006867704872795,0.10101010101010101,50.0,58.56493827160494,16,0.12121212121212122,5000.0,101.0,2000.0,0.12121212121212122,0.13043478260869565,0.11904761904761904,0.11764705882352941,0.640625,0.359375,0.0,0.2,0,0,58,64
binary_tree_size65536_seed0_loads,tree,100,1,100,1.4812356395200408,1.426955238563699,-0.05428040095634179,GMC-style,0.05428040095634179,3917,4066,5802,0.5,0.6425757017252708,1.0,0.7142857142857143,0.07142857142857142,0.11904761904761904,1.0,0.75,0.13,0.16,0.0,0.0,0,0,104,128,1.0,0.75,8192,81552,0.175,0.09148628630581251,0.08402933531721606,0.0074569509885964586,477.0,0.12506253126563283,5.2006867704872795,0.12121212121212122,37.0,53.48641975308642,16,0.12121212121212122,5000.0,101.0,2000.0,0.11904761904761904,0.12987012987012986,0.11594202898550725,0.11320754716981132,0.723404255319149,0.2765957446808511,0.0,0.37,0,0,41,47
binary_tree_size65536_seed0_loads,tree,100,2,100,1.1930604982206405,1.2333869855139112,0.04032648729327071,WAM,0.04032648729327071,4496,4349,5364,0.62,0.6060935473369603,1.0,0.7142857142857143,0.08333333333333333,0.11904761904761904,0.75,1.0,0.08,0.07,0.0,0.0,0,0,64,56,0.75,1.0,8192,81552,0.23170731707317074,0.09148628630581251,0.08402933531721606,0.0074569509885964586,477.0,0.12506253126563283,5.2006867704872795,0.1111111111111111,34.0,53.464691358024695,16,0.12121212121212122,5000.0,101.0,2000.0,0.11904761904761904,0.1038961038961039,0.11594202898550725,0.11320754716981132,0.7192982456140351,0.2807017543859649,0.0,0.27,0,0,50,57
binary_tree_size65536_seed0_loads,tree,500,0,500,1.1885353095030515,1.1898319877809296,0.0012966782778780495,WAM,0.0012966782778780495,9176,9166,10906,0.618,0.6240493034402632,1.0,0.7142857142857143,0.08264462809917356,0.12396694214876033,0.5454545454545454,1.0,0.044,0.024,0.0,0.0,0,0,176,96,0.5454545454545454,1.0,8192,81552,0.4405940594059406,0.09148628630581251,0.08402933531721606,0.0074569509885964586,477.0,0.12506253126563283,5.2006867704872795,0.11022044088176353,61.0,57.58762886597938,16,0.12424849699398798,5000.0,501.0,2000.0,0.12550607287449392,0.1273100616016427,0.12526096033402923,0.12526997840172785,0.6761904761904762,0.3238095238095238,0.0,0.338,0,0,275,315
binary_tree_size65536_seed0_loads,tree,500,1,500,1.2633941093969145,1.312163146394756,0.04876903699784152,WAM,0.04876903699784152,7130,6865,9008,0.556,0.6142435633687158,1.0,0.7142857142857143,0.07024793388429752,0.12396694214876033,0.65,0.6521739130434783,0.04,0.046,0.0,0.06666666666666667,0,0,160,184,0.65,0.6521739130434783,8192,81552,0.5029239766081871,0.09148628630581251,0.08402933531721606,0.0074569509885964586,477.0,0.12506253126563283,5.2006867704872795,0.11022044088176353,48.0,53.2659793814433,16,0.12424849699398798,5000.0,501.0,2000.0,0.12396694214876033,0.12578616352201258,0.12366737739872068,0.12362030905077263,0.7132616487455197,0.2867383512544803,0.0,0.41,0,0,245,279
binary_tree_size65536_seed0_loads,tree,500,2,500,1.0810323453172546,1.064358632933866,-0.01667371238338866,GMC-style,0.01667371238338866,8873,9012,9592,0.622,0.6036690102277786,1.0,0.7142857142857143,0.08471074380165289,0.12396694214876033,0.45454545454545453,1.0,0.022,0.008,0.0,0.0,0,0,88,32,0.45454545454545453,1.0,8192,81552,0.4585635359116022,0.09148628630581251,0.08402933531721606,0.0074569509885964586,477.0,0.12506253126563283,5.2006867704872795,0.10821643286573146,52.0,54.44701030927835,16,0.12424849699398798,5000.0,501.0,2000.0,0.12396694214876033,0.12159329140461216,0.12366737739872068,0.12362030905077263,0.709375,0.290625,0.0,0.328,0,0,279,320
binary_tree_size65536_seed0_loads,tree,1000,0,1000,1.1544860899901601,1.1558301988178399,0.0013441088276797686,WAM,0.0013441088276797686,11179,11166,12906,0.628,0.6152401282138412,1.0,0.7142857142857143,0.08231707317073171,0.12398373983739837,0.48,1.0,0.025,0.012,0.0,0.0,0,0,200,96,0.48,1.0,8192,81552,0.5736434108527132,0.09148628630581251,0.08402933531721606,0.0074569509885964586,477.0,0.12506253126563283,5.2006867704872795,0.1061061061061061,61.0,56.92786324786325,16,0.12412412412412413,5000.0,1001.0,2000.0,0.12474849094567404,0.12563323201621074,0.12461695607763024,0.12461059190031153,0.703875968992248,0.2961240310077519,0.0,0.339,0,0,564,645
binary_tree_size65536_seed0_loads,tree,1000,1,1000,1.1277974596042513,1.3715846994535519,0.24378723984930062,WAM,0.24378723984930062,11573,9516,13052,0.577,0.6198648590173501,1.0,0.7142857142857143,0.07621951219512195,0.12601626016260162,0.4782608695652174,1.0,0.023,0.025,0.0,0.16,0,0,184,200,0.4782608695652174,1.0,8192,81552,0.5724907063197026,0.09148628630581251,0.08402933531721606,0.0074569509885964586,477.0,0.12506253126563283,5.2006867704872795,0.1111111111111111,62.0,54.526495726495725,16,0.12612612612612611,5000.0,1001.0,2000.0,0.12704918032786885,0.1259029927760578,0.12695109261186263,0.12698412698412698,0.7032040472175379,0.29679595278246207,0.0,0.391,0,0,518,593
binary_tree_size65536_seed0_loads,tree,1000,2,1000,1.070889399409255,1.1225595596456523,0.05167016023639737,WAM,0.05167016023639737,12188,11627,13052,0.589,0.6039376053113427,1.0,0.7142857142857143,0.07926829268292683,0.12398373983739837,0.5,1.0,0.012,0.01,0.0,0.1,0,0,96,80,0.5,1.0,8192,81552,0.49642857142857144,0.09148628630581251,0.08402933531721606,0.0074569509885964586,477.0,0.12506253126563283,5.2006867704872795,0.10810810810810811,62.0,54.84923076923077,16,0.12412412412412413,5000.0,1001.0,2000.0,0.12668743509865005,0.12343096234309624,0.12658227848101267,0.12660944206008584,0.7214983713355049,0.2785016286644951,0.0,0.37,0,0,536,614
binary_tree_size65536_seed1_loads,tree,100,0,100,1.2899983246775004,1.2919463087248322,0.0019479840473317633,WAM,0.0019479840473317633,5969,5960,7700,0.74,0.6909370636709602,1.0,0.7142857142857143,0.07142857142857142,0.11904761904761904,0.5714285714285714,1.0,0.21,0.12,0.0,0.0,0,0,168,96,0.5714285714285714,1.0,8192,81552,0.01,0.09148628630581251,0.08402933531721606,0.0074569509885964586,477.0,0.12506253126563283,5.2006867704872795,0.10101010101010101,50.0,58.56493827160494,16,0.12121212121212122,5000.0,101.0,2000.0,0.12121212121212122,0.13043478260869565,0.11904761904761904,0.11764705882352941,0.640625,0.359375,0.0,0.2,0,0,58,64
