trace,phase,depth,horizon,train_examples,evaluation_examples,reusable_evaluation_examples,oracle_top1_accuracy,coverage,evaluation_context_reuse
435.gromacs-111B,measurement_70_30,1,16,90643,38838,38329,0.005844138902658561,0.9868942787991143,0.9868942787991143
435.gromacs-111B,measurement_70_30,1,32,90627,38822,38313,0.0023751729178085766,0.9868888774406265,0.9868888774406265
435.gromacs-111B,measurement_70_30,2,1,90657,38853,25380,0.3888100866824271,0.6532314107018763,0.6532314107018763
435.gromacs-111B,measurement_70_30,2,4,90654,38850,25378,0.09563401371266451,0.6532303732303733,0.6532303732303733
435.gromacs-111B,measurement_70_30,2,8,90650,38846,25375,0.03799014778325123,0.6532204087936981,0.6532204087936981
435.gromacs-111B,measurement_70_30,2,16,90642,38838,25368,0.016359192683695994,0.6531747257840259,0.6531747257840259
435.gromacs-111B,measurement_70_30,2,32,90626,38822,25354,0.008558807288790724,0.6530833032816444,0.6530833032816444
435.gromacs-111B,measurement_70_30,4,1,90655,38853,7925,0.5076340694006309,0.20397395310529431,0.20397395310529431
435.gromacs-111B,measurement_70_30,4,4,90652,38850,7924,0.15459363957597172,0.20396396396396396,0.20396396396396396
435.gromacs-111B,measurement_70_30,4,8,90648,38846,7923,0.06474820143884892,0.20395922360088556,0.20395922360088556
435.gromacs-111B,measurement_70_30,4,16,90640,38838,7922,0.025877303711184043,0.20397548792419795,0.20397548792419795
435.gromacs-111B,measurement_70_30,4,32,90624,38822,7915,0.014529374605180037,0.2038792437277832,0.2038792437277832
435.gromacs-111B,measurement_70_30,8,1,90651,38853,883,0.5639864099660249,0.022726687771858028,0.022726687771858028
435.gromacs-111B,measurement_70_30,8,4,90648,38850,883,0.18912797281993204,0.022728442728442728,0.022728442728442728
435.gromacs-111B,measurement_70_30,8,8,90644,38846,883,0.08720271800679502,0.022730783092210265,0.022730783092210265
435.gromacs-111B,measurement_70_30,8,16,90636,38838,883,0.0362400906002265,0.022735465265976623,0.022735465265976623
435.gromacs-111B,measurement_70_30,8,32,90620,38822,882,0.01473922902494331,0.02271907681211684,0.02271907681211684
435.gromacs-111B,measurement_70_30,16,1,90643,38853,13,0.6153846153846154,0.0003345944972074229,0.0003345944972074229
435.gromacs-111B,measurement_70_30,16,4,90640,38850,13,0.38461538461538464,0.00033462033462033463,0.00033462033462033463
435.gromacs-111B,measurement_70_30,16,8,90636,38846,13,0.15384615384615385,0.00033465479071204243,0.00033465479071204243
435.gromacs-111B,measurement_70_30,16,16,90628,38838,13,0.07692307692307693,0.0003347237241876513,0.0003347237241876513
435.gromacs-111B,measurement_70_30,16,32,90612,38822,13,0.0,0.0003348616763690691,0.0003348616763690691
447.dealII-3B,measurement_70_30,1,1,11007,4717,4564,0.9123575810692375,0.967564129743481,0.967564129743481
447.dealII-3B,measurement_70_30,1,4,11004,4714,4561,0.8916904187678141,0.9675434874840899,0.9675434874840899
447.dealII-3B,measurement_70_30,1,8,11000,4710,4557,0.8810621022602589,0.967515923566879,0.967515923566879
447.dealII-3B,measurement_70_30,1,16,10992,4702,4549,0.8692020224225104,0.9674606550404083,0.9674606550404083
447.dealII-3B,measurement_70_30,1,32,10976,4686,4544,0.8470510563380281,0.9696969696969697,0.9696969696969697
