workload,horizon,system,accuracy,top3_accuracy,coverage,storage_bytes
Probabilistic,2,DirectMarkov,0.7503136762860728,0.7503136762860728,0.3988988988988989,312
Probabilistic,4,DirectWAM,0.7506297229219143,0.7506297229219143,0.39779559118236474,552
Probabilistic,4,RecursiveWAM,0.9177852348993288,0.9177852348993288,0.2985971943887776,552
Probabilistic,4,DirectMarkov,0.7506297229219143,0.7506297229219143,0.39779559118236474,312
Probabilistic,8,DirectWAM,0.7503168567807351,0.7503168567807351,0.3960843373493976,552
Probabilistic,8,RecursiveWAM,0.9172297297297297,0.9172297297297297,0.2971887550200803,552
Probabilistic,8,DirectMarkov,0.7503168567807351,0.7503168567807351,0.3960843373493976,312
Probabilistic,16,DirectWAM,0.7506426735218509,0.7506426735218509,0.39213709677419356,552
Probabilistic,16,RecursiveWAM,0.9195205479452054,0.9195205479452054,0.29435483870967744,552
Probabilistic,16,DirectMarkov,0.7506426735218509,0.7506426735218509,0.39213709677419356,312
Probabilistic,32,DirectWAM,0.750330250990753,0.750330250990753,0.38465447154471544,552
Probabilistic,32,RecursiveWAM,0.9190140845070423,0.9190140845070423,0.2886178861788618,552
Probabilistic,32,DirectMarkov,0.750330250990753,0.750330250990753,0.38465447154471544,312
PhaseChanging,1,DirectWAM,1.0,1.0,0.29964982491245623,696
PhaseChanging,1,RecursiveWAM,1.0,1.0,0.29964982491245623,696
PhaseChanging,1,DirectMarkov,1.0,1.0,0.29964982491245623,312
PhaseChanging,2,DirectWAM,1.0,1.0,0.2992992992992993,696
PhaseChanging,2,RecursiveWAM,1.0,1.0,0.2992992992992993,696
PhaseChanging,2,DirectMarkov,1.0,1.0,0.2992992992992993,336
PhaseChanging,4,DirectWAM,1.0,1.0,0.2985971943887776,696
PhaseChanging,4,RecursiveWAM,1.0,1.0,0.2985971943887776,696
PhaseChanging,4,DirectMarkov,1.0,1.0,0.2985971943887776,360
PhaseChanging,8,DirectWAM,1.0,1.0,0.2971887550200803,696
PhaseChanging,8,RecursiveWAM,1.0,1.0,0.2971887550200803,696
PhaseChanging,8,DirectMarkov,1.0,1.0,0.2971887550200803,360
PhaseChanging,16,DirectWAM,1.0,1.0,0.29435483870967744,696
PhaseChanging,16,RecursiveWAM,1.0,1.0,0.29435483870967744,696
PhaseChanging,16,DirectMarkov,1.0,1.0,0.29435483870967744,360
PhaseChanging,32,DirectWAM,1.0,1.0,0.2886178861788618,696
PhaseChanging,32,RecursiveWAM,1.0,1.0,0.2886178861788618,696
PhaseChanging,32,DirectMarkov,1.0,1.0,0.2886178861788618,360
Random,1,DirectWAM,0.0,0.0,0.3676838419209605,118776
Random,1,RecursiveWAM,0.0,0.0,0.21310655327663833,118776
Random,1,DirectMarkov,0.0,0.0,0.0,33576
Random,2,DirectWAM,0.0013605442176870747,0.0013605442176870747,0.36786786786786785,118680
Random,2,RecursiveWAM,0.002347417840375587,0.002347417840375587,0.2132132132132132,118776
Random,2,DirectMarkov,0.0,0.0,0.0,33552
Random,4,DirectWAM,0.0,0.0,0.36773547094188375,118512
Random,4,RecursiveWAM,0.0,0.0,0.21342685370741482,118776
Random,4,DirectMarkov,0.0,0.0,0.0,33504
Random,8,DirectWAM,0.001366120218579235,0.001366120218579235,0.3674698795180723,118224
Random,8,RecursiveWAM,0.0023584905660377358,0.0023584905660377358,0.21285140562248997,118776
Random,8,DirectMarkov,0.0,0.0,0.0,33408
Random,16,DirectWAM,0.002758620689655172,0.002758620689655172,0.3654233870967742,117600
Random,16,RecursiveWAM,0.002386634844868735,0.002386634844868735,0.21118951612903225,118776
Random,16,DirectMarkov,0.0,0.0,0.0,33216
Random,32,DirectWAM,0.0,0.0,0.35010162601626016,116376
Random,32,RecursiveWAM,0.0,0.0,0.2068089430894309,118776
Random,32,DirectMarkov,0.0,0.0,0.0,32832
LongHigherOrder,1,DirectWAM,1.0,1.0,0.2996352266805628,7560
LongHigherOrder,1,RecursiveWAM,1.0,1.0,0.2996352266805628,7560
LongHigherOrder,1,DirectMarkov,1.0,1.0,0.2996352266805628,2376
LongHigherOrder,2,DirectWAM,1.0,1.0,0.29927007299270075,7560
LongHigherOrder,2,RecursiveWAM,1.0,1.0,0.29927007299270075,7560
LongHigherOrder,2,DirectMarkov,1.0,1.0,0.29927007299270075,2376
LongHigherOrder,4,DirectWAM,1.0,1.0,0.2985386221294363,7560
LongHigherOrder,4,RecursiveWAM,1.0,1.0,0.2985386221294363,7560
LongHigherOrder,4,DirectMarkov,1.0,1.0,0.2985386221294363,2376
LongHigherOrder,8,DirectWAM,1.0,1.0,0.29707112970711297,7560
LongHigherOrder,8,RecursiveWAM,1.0,1.0,0.29707112970711297,7560
LongHigherOrder,8,DirectMarkov,1.0,1.0,0.29707112970711297,2376
LongHigherOrder,16,DirectWAM,1.0,1.0,0.29411764705882354,7560
LongHigherOrder,16,RecursiveWAM,1.0,1.0,0.29411764705882354,7560
LongHigherOrder,16,DirectMarkov,1.0,1.0,0.29411764705882354,2376
LongHigherOrder,32,DirectWAM,1.0,1.0,0.288135593220339,7560
LongHigherOrder,32,RecursiveWAM,1.0,1.0,0.288135593220339,7560
LongHigherOrder,32,DirectMarkov,1.0,1.0,0.288135593220339,2376
