workload,system,configuration,horizon,trace_length,accuracy,top3_accuracy,prediction_attempts,total_cycles,average_latency,raw_memory_cycles,speedup,useful_prefetches,prefetches_issued,prefetches_completed,late_prefetches,late_rate,unused_prefetches,dropped_prefetches,pollution_misses,bandwidth_bytes,bandwidth_utilization,cycles_hidden,fully_hidden_misses,partially_hidden_misses,unhidden_misses,mean_lead_time,median_lead_time,mean_slack,median_slack,queue_occupancy,lookup_prefetch_overhead,storage_bytes,fraction_of_oracle_gain
LongerDependency,Oracle,Oracle-H16,16,2000,1.0,1.0,584,3289,5.4816666666666665,2838,1.0404378230465188,4,4,4,3,0.75,0,0,0,32,1.0,146,1,0,6,79.0,1,-71.0,-149,0.0,4,0,1.0
LongerDependency,Oracle,Oracle-H32,32,2000,1.0,1.0,568,3131,5.218333333333334,2692,1.092941552219738,5,5,5,3,0.6,0,0,0,40,1.0,296,2,3,2,63.6,6,-86.4,-144,0.0,5,0,1.0
Probabilistic,Oracle,Oracle-H1,1,2000,1.0,1.0,599,2996,4.993333333333333,2546,0.9959946595460614,3,3,3,3,1.0,0,0,0,24,1.0,0,0,0,4,1.0,1,-149.0,-149,0.0,3,0,0.0
Probabilistic,Oracle,Oracle-H2,2,2000,1.0,1.0,598,2839,4.7316666666666665,2692,1.0510743219443466,2,2,2,1,0.5,0,0,0,16,1.0,147,1,1,2,78.0,151,-72.0,1,0.0,2,0,1.0
Probabilistic,Oracle,Oracle-H4,4,2000,1.0,1.0,596,2984,4.973333333333334,2546,1.0,3,3,3,3,1.0,0,0,0,24,1.0,9,0,1,3,5.0,1,-145.0,-149,0.0,3,0,0.0
Probabilistic,Oracle,Oracle-H8,8,2000,1.0,1.0,592,2815,4.691666666666666,2692,1.0600355239786856,2,2,2,1,0.5,0,0,0,16,1.0,171,1,1,2,90.0,151,-60.0,1,0.0,2,0,1.0
Probabilistic,Oracle,Oracle-H16,16,2000,1.0,1.0,584,2972,4.953333333333333,2546,1.0040376850605652,3,3,3,3,1.0,0,0,0,24,1.0,21,0,1,3,9.0,1,-141.0,-149,0.0,3,0,1.0
Probabilistic,Oracle,Oracle-H32,32,2000,1.0,1.0,568,2815,4.691666666666666,2692,1.0600355239786856,2,2,2,1,0.5,0,0,0,16,1.0,171,1,1,2,90.0,151,-60.0,1,0.0,2,0,1.0
PhaseChanging,Oracle,Oracle-H1,1,2000,1.0,1.0,599,2846,4.743333333333333,2546,0.9971890372452565,2,2,2,2,1.0,0,0,0,16,1.0,0,0,0,3,1.0,1,-149.0,-149,0.0,2,0,0.0
PhaseChanging,Oracle,Oracle-H2,2,2000,1.0,1.0,598,2693,4.488333333333333,2692,1.0538432974378018,1,1,1,0,0.0,0,0,0,8,1.0,146,1,0,2,151.0,151,1.0,1,0.0,1,0,1.0
PhaseChanging,Oracle,Oracle-H4,4,2000,1.0,1.0,596,2846,4.743333333333333,2546,0.9971890372452565,2,2,2,2,1.0,0,0,0,16,1.0,0,0,0,3,1.0,1,-149.0,-149,0.0,2,0,0.0
PhaseChanging,Oracle,Oracle-H8,8,2000,1.0,1.0,592,2693,4.488333333333333,2692,1.0538432974378018,1,1,1,0,0.0,0,0,0,8,1.0,146,1,0,2,151.0,151,1.0,1,0.0,1,0,1.0
PhaseChanging,Oracle,Oracle-H16,16,2000,1.0,1.0,584,2846,4.743333333333333,2546,0.9971890372452565,2,2,2,2,1.0,0,0,0,16,1.0,0,0,0,3,1.0,1,-149.0,-149,0.0,2,0,0.0
PhaseChanging,Oracle,Oracle-H32,32,2000,1.0,1.0,568,2693,4.488333333333333,2692,1.0538432974378018,1,1,1,0,0.0,0,0,0,8,1.0,146,1,0,2,151.0,151,1.0,1,0.0,1,0,1.0
Random,Oracle,Oracle-H1,1,2000,1.0,1.0,599,88196,146.99333333333334,2546,0.8059095650596398,571,571,571,571,1.0,0,0,0,4568,1.0,0,0,0,572,1.0,1,-149.0,-149,0.0,571,0,0.0
Random,Oracle,Oracle-H2,2,2000,1.0,1.0,598,45054,75.09,2992,1.577617969547654,567,567,567,313,0.5520282186948854,0,0,0,4536,1.0,41287,254,313,4,76.82716049382717,14,-73.17283950617283,-136,0.0,567,0,1.0
Random,Oracle,Oracle-H4,4,2000,1.0,1.0,596,23337,38.895,3584,3.0457213866392423,562,562,562,191,0.3398576512455516,0,0,0,4496,1.0,62861,371,191,8,117.4306049822064,150,-32.569395017793596,0,0.0,562,0,1.0
Random,Oracle,Oracle-H8,8,2000,1.0,1.0,592,13078,21.796666666666667,4622,5.434928888209206,553,553,553,142,0.25678119349005424,0,0,0,4424,1.0,72835,411,142,15,148.56781193490053,150,-1.4321880650994574,0,0.0,553,0,1.0
Random,Oracle,Oracle-H16,16,2000,1.0,1.0,584,23839,39.73166666666667,22488,2.981584798020051,410,410,410,23,0.05609756097560976,0,112,0,3280,0.7854406130268199,58919,387,23,136,565.3756097560976,516,415.37560975609756,366,0.0,410,0,1.0
Random,Oracle,Oracle-H32,32,2000,1.0,1.0,568,30978,51.63,30596,2.2944670411259604,328,328,328,10,0.03048780487804878,0,157,0,2624,0.6762886597938145,47834,318,10,190,1553.969512195122,1472,1403.969512195122,1322,0.0,328,0,1.0
LongHigherOrder,Oracle,Oracle-H1,1,1920,1.0,1.0,575,9800,17.01388888888889,2450,0.98,49,49,49,49,1.0,0,0,0,392,1.0,0,0,0,50,1.0,1,-149.0,-149,0.0,49,0,0.0
LongHigherOrder,Oracle,Oracle-H2,2,1920,1.0,1.0,574,6124,10.631944444444445,2596,1.5682560418027434,48,48,48,47,0.9791666666666666,0,0,0,384,1.0,3528,1,47,2,77.54166666666667,149,-72.45833333333333,-1,0.0,48,0,1.0
LongHigherOrder,Oracle,Oracle-H4,4,1920,1.0,1.0,572,6063,10.526041666666666,2888,1.5840343064489526,46,46,46,23,0.5,0,0,0,368,1.0,3587,23,23,4,88.54347826086956,150,-61.45652173913044,0,0.0,46,0,1.0
