workload,system,horizon,mean_lead_time,median_lead_time,mean_slack,median_slack,late_rate,cycles_hidden,fully_hidden,partially_hidden,unhidden
Contextual,DirectWAM,1,1.0,1,-149.0,-149,1.0,0,0,0,5
Contextual,RecursiveWAM,1,1.0,1,-149.0,-149,1.0,0,0,0,5
Contextual,DirectMarkov,1,1.0,1,-149.0,-149,1.0,0,0,0,5
Contextual,Oracle,2,54.0,5,-96.0,-145,0.6666666666666666,148,1,2,2
Contextual,DirectWAM,2,62.0,13,-88.0,-137,0.6666666666666666,164,1,2,2
Contextual,RecursiveWAM,2,62.0,13,-88.0,-137,0.6666666666666666,164,1,2,2
Contextual,DirectMarkov,2,62.0,13,-88.0,-137,0.6666666666666666,164,1,2,2
Contextual,Oracle,4,153.0,305,3.0,155,0.5,146,1,0,4
Contextual,DirectWAM,4,165.0,329,15.0,179,0.5,146,1,0,4
Contextual,RecursiveWAM,4,165.0,329,15.0,179,0.5,146,1,0,4
Contextual,DirectMarkov,4,165.0,329,15.0,179,0.5,146,1,0,4
Contextual,Oracle,8,54.0,5,-96.0,-145,0.6666666666666666,148,1,2,2
Contextual,DirectWAM,8,62.0,13,-88.0,-137,0.6666666666666666,164,1,2,2
Contextual,RecursiveWAM,8,62.0,13,-88.0,-137,0.6666666666666666,164,1,2,2
Contextual,DirectMarkov,8,62.0,13,-88.0,-137,0.6666666666666666,164,1,2,2
Contextual,Oracle,16,153.0,305,3.0,155,0.5,146,1,0,4
Contextual,DirectWAM,16,165.0,329,15.0,179,0.5,146,1,0,4
Contextual,RecursiveWAM,16,165.0,329,15.0,179,0.5,146,1,0,4
Contextual,DirectMarkov,16,165.0,329,15.0,179,0.5,146,1,0,4
Contextual,Oracle,32,54.0,5,-96.0,-145,0.6666666666666666,148,1,2,2
Contextual,DirectWAM,32,62.0,13,-88.0,-137,0.6666666666666666,164,1,2,2
Contextual,RecursiveWAM,32,62.0,13,-88.0,-137,0.6666666666666666,164,1,2,2
Contextual,DirectMarkov,32,62.0,13,-88.0,-137,0.6666666666666666,164,1,2,2
LongerDependency,Oracle,1,1.0,1,-149.0,-149,1.0,0,0,0,7
LongerDependency,DirectWAM,1,1.0,1,-149.0,-149,1.0,0,0,0,7
LongerDependency,RecursiveWAM,1,1.0,1,-149.0,-149,1.0,0,0,0,7
LongerDependency,DirectMarkov,1,1.0,1,-149.0,-149,1.0,0,0,0,7
