workload,system,horizon,train_accesses,total_cycles,average_latency,speedup,accuracy,late_prefetch_rate,cycles_hidden,fraction_of_ideal_gain,predictor_overhead,predictor_queue_stalls,average_queue_wait,maximum_queue_wait,dropped_predictions,predictor_queue_depth,port_stalls,update_count,prefetches_issued,bandwidth_bytes,storage_bytes,ideal_speedup,collision_rate,aliasing_rate,counter_bits,signature_bits,table_size,fallback_depths,fallback_mode
LongHigherOrder,Fallback-serial,16,3360,33193,23.050694444444446,0.3978549694212635,1.0,0.06818181818181818,5986,0.0,25920,0,0.0,0,0,0,0,1440,44,352,42768,1.7164023914738757,0.0,0.0,,,,"16,8,4,2,1",serial
LongHigherOrder,Fallback-parallel,16,3360,7694,5.343055555555556,1.7164023914738757,1.0,0.3181818181818182,5565,1.0,0,0,0.0,0,0,0,0,1440,44,352,42768,1.7164023914738757,0.0,0.0,,,,"16,8,4,2,1",parallel
