workload,system,horizon,train_accesses,total_cycles,average_latency,speedup,accuracy,late_prefetch_rate,cycles_hidden,fraction_of_ideal_gain,predictor_overhead,predictor_queue_stalls,average_queue_wait,maximum_queue_wait,dropped_predictions,predictor_queue_depth,port_stalls,update_count,prefetches_issued,bandwidth_bytes,storage_bytes,ideal_speedup,collision_rate,aliasing_rate,counter_bits,signature_bits,table_size,predictor_latency,mode
LongHigherOrder,DirectWAM-H16,16,3360,18793,13.050694444444444,0.7027084552759006,1.0,0.06818181818181818,5986,0.0,11520,0,0.0,0,0,0,0,1440,44,352,42768,1.7164023914738757,0.0,0.0,,,,8,serial
LongHigherOrder,RecursiveWAM,16,3360,18793,13.050694444444444,0.7027084552759006,1.0,0.06818181818181818,5986,0.0,11520,0,0.0,0,0,0,0,1440,44,352,8208,1.7164023914738757,0.0,0.0,,,,8,serial
LongHigherOrder,Markov-N,16,3360,18793,13.050694444444444,0.7027084552759006,1.0,0.06818181818181818,5986,0.0,11520,0,0.0,0,0,0,0,1440,44,352,2952,1.7164023914738757,0.0,0.0,,,,8,serial
LongHigherOrder,DirectWAM-H8,8,3360,24203,16.80763888888889,0.5456348386563649,1.0,0.5,6329,0.0,17280,0,0.0,0,0,0,0,1440,46,368,19728,1.6829361539441825,0.0,0.0,,,,12,serial
LongHigherOrder,DirectWAM-H16,16,3360,24553,17.050694444444446,0.5378568810328677,1.0,0.06818181818181818,5986,0.0,17280,0,0.0,0,0,0,0,1440,44,352,42768,1.7164023914738757,0.0,0.0,,,,12,serial
LongHigherOrder,RecursiveWAM,16,3360,24553,17.050694444444446,0.5378568810328677,1.0,0.06818181818181818,5986,0.0,17280,0,0.0,0,0,0,0,1440,44,352,8208,1.7164023914738757,0.0,0.0,,,,12,serial
LongHigherOrder,Markov-N,16,3360,24553,17.050694444444446,0.5378568810328677,1.0,0.06818181818181818,5986,0.0,17280,0,0.0,0,0,0,0,1440,44,352,2952,1.7164023914738757,0.0,0.0,,,,12,serial
LongHigherOrder,DirectWAM-H8,8,3360,29655,20.59375,0.4453211937278705,1.0,0.5,6637,0.0,23040,0,0.0,0,0,0,0,1440,46,368,19728,1.6829361539441825,0.0,0.0,,,,16,serial
LongHigherOrder,DirectWAM-H16,16,3360,30313,21.050694444444446,0.4356546696136971,1.0,0.06818181818181818,5986,0.0,23040,0,0.0,0,0,0,0,1440,44,352,42768,1.7164023914738757,0.0,0.0,,,,16,serial
LongHigherOrder,RecursiveWAM,16,3360,30313,21.050694444444446,0.4356546696136971,1.0,0.06818181818181818,5986,0.0,23040,0,0.0,0,0,0,0,1440,44,352,8208,1.7164023914738757,0.0,0.0,,,,16,serial
LongHigherOrder,Markov-N,16,3360,30313,21.050694444444446,0.4356546696136971,1.0,0.06818181818181818,5986,0.0,23040,0,0.0,0,0,0,0,1440,44,352,2952,1.7164023914738757,0.0,0.0,,,,16,serial
LongHigherOrder,DirectWAM-H8,8,3360,41096,28.538888888888888,0.3213451430796185,1.0,0.0,6716,0.0,34560,0,0.0,0,0,0,0,1440,46,368,19728,1.6829361539441825,0.0,0.0,,,,24,serial
LongHigherOrder,DirectWAM-H16,16,3360,41833,29.050694444444446,0.3156837903090861,1.0,0.06818181818181818,5986,0.0,34560,0,0.0,0,0,0,0,1440,44,352,42768,1.7164023914738757,0.0,0.0,,,,24,serial
LongHigherOrder,RecursiveWAM,16,3360,41833,29.050694444444446,0.3156837903090861,1.0,0.06818181818181818,5986,0.0,34560,0,0.0,0,0,0,0,1440,44,352,8208,1.7164023914738757,0.0,0.0,,,,24,serial
LongHigherOrder,Markov-N,16,3360,41833,29.050694444444446,0.3156837903090861,1.0,0.06818181818181818,5986,0.0,34560,0,0.0,0,0,0,0,1440,44,352,2952,1.7164023914738757,0.0,0.0,,,,24,serial
LongHigherOrder,DirectWAM-H8,8,3360,52616,36.53888888888889,0.25098829253459026,1.0,0.0,6716,0.0,46080,0,0.0,0,0,0,0,1440,46,368,19728,1.6829361539441825,0.0,0.0,,,,32,serial
LongHigherOrder,DirectWAM-H16,16,3360,53353,37.050694444444446,0.24752122654771053,1.0,0.06818181818181818,5986,0.0,46080,0,0.0,0,0,0,0,1440,44,352,42768,1.7164023914738757,0.0,0.0,,,,32,serial
LongHigherOrder,RecursiveWAM,16,3360,53353,37.050694444444446,0.24752122654771053,1.0,0.06818181818181818,5986,0.0,46080,0,0.0,0,0,0,0,1440,44,352,8208,1.7164023914738757,0.0,0.0,,,,32,serial
LongHigherOrder,Markov-N,16,3360,53353,37.050694444444446,0.24752122654771053,1.0,0.06818181818181818,5986,0.0,46080,0,0.0,0,0,0,0,1440,44,352,2952,1.7164023914738757,0.0,0.0,,,,32,serial
Contextual,DirectWAM-H8,8,3360,6345,4.40625,1.0228526398739164,1.0,0.6666666666666666,148,1.0,0,0,0.0,0,0,0,0,1440,3,24,1128,1.0228526398739164,0.0,0.0,,,,0,serial
Contextual,DirectWAM-H16,16,3360,6349,4.409027777777778,1.0222082217672075,1.0,0.5,146,1.0,0,0,0.0,0,0,0,0,1440,2,16,2280,1.0222082217672075,0.0,0.0,,,,0,serial
Contextual,RecursiveWAM,16,3360,6349,4.409027777777778,1.0222082217672075,1.0,0.5,146,1.0,0,0,0.0,0,0,0,0,1440,2,16,552,1.0222082217672075,0.0,0.0,,,,0,serial
Contextual,Markov-N,16,3360,6349,4.409027777777778,1.0222082217672075,1.0,0.5,146,1.0,0,0,0.0,0,0,0,0,1440,2,16,216,1.0222082217672075,0.0,0.0,,,,0,serial
Contextual,DirectWAM-H8,8,3360,7783,5.404861111111111,0.8338686881665167,1.0,0.6666666666666666,150,0.0,1440,0,0.0,0,0,0,0,1440,3,24,1128,1.0228526398739164,0.0,0.0,,,,1,serial
Contextual,DirectWAM-H16,16,3360,7789,5.409027777777778,0.8332263448452947,1.0,0.5,146,0.0,1440,0,0.0,0,0,0,0,1440,2,16,2280,1.0222082217672075,0.0,0.0,,,,1,serial
Contextual,RecursiveWAM,16,3360,7789,5.409027777777778,0.8332263448452947,1.0,0.5,146,0.0,1440,0,0.0,0,0,0,0,1440,2,16,552,1.0222082217672075,0.0,0.0,,,,1,serial
Contextual,Markov-N,16,3360,7789,5.409027777777778,0.8332263448452947,1.0,0.5,146,0.0,1440,0,0.0,0,0,0,0,1440,2,16,216,1.0222082217672075,0.0,0.0,,,,1,serial
Contextual,DirectWAM-H8,8,3360,9221,6.403472222222222,0.7038282181975924,1.0,0.6666666666666666,152,0.0,2880,0,0.0,0,0,0,0,1440,3,24,1128,1.0228526398739164,0.0,0.0,,,,2,serial
Contextual,DirectWAM-H16,16,3360,9229,6.409027777777778,0.7032181168057211,1.0,0.5,146,0.0,2880,0,0.0,0,0,0,0,1440,2,16,2280,1.0222082217672075,0.0,0.0,,,,2,serial
Contextual,RecursiveWAM,16,3360,9229,6.409027777777778,0.7032181168057211,1.0,0.5,146,0.0,2880,0,0.0,0,0,0,0,1440,2,16,552,1.0222082217672075,0.0,0.0,,,,2,serial
Contextual,Markov-N,16,3360,9229,6.409027777777778,0.7032181168057211,1.0,0.5,146,0.0,2880,0,0.0,0,0,0,0,1440,2,16,216,1.0222082217672075,0.0,0.0,,,,2,serial
Contextual,DirectWAM-H8,8,3360,10659,7.402083333333334,0.608875128998968,1.0,0.6666666666666666,154,0.0,4320,0,0.0,0,0,0,0,1440,3,24,1128,1.0228526398739164,0.0,0.0,,,,3,serial
Contextual,DirectWAM-H16,16,3360,10669,7.409027777777778,0.6083044334051926,1.0,0.5,146,0.0,4320,0,0.0,0,0,0,0,1440,2,16,2280,1.0222082217672075,0.0,0.0,,,,3,serial
Contextual,RecursiveWAM,16,3360,10669,7.409027777777778,0.6083044334051926,1.0,0.5,146,0.0,4320,0,0.0,0,0,0,0,1440,2,16,552,1.0222082217672075,0.0,0.0,,,,3,serial
Contextual,Markov-N,16,3360,10669,7.409027777777778,0.6083044334051926,1.0,0.5,146,0.0,4320,0,0.0,0,0,0,0,1440,2,16,216,1.0222082217672075,0.0,0.0,,,,3,serial
Contextual,DirectWAM-H8,8,3360,12097,8.400694444444444,0.5364966520624949,1.0,0.6666666666666666,156,0.0,5760,0,0.0,0,0,0,0,1440,3,24,1128,1.0228526398739164,0.0,0.0,,,,4,serial
Contextual,DirectWAM-H16,16,3360,12109,8.409027777777778,0.5359649847221075,1.0,0.5,146,0.0,5760,0,0.0,0,0,0,0,1440,2,16,2280,1.0222082217672075,0.0,0.0,,,,4,serial
Contextual,RecursiveWAM,16,3360,12109,8.409027777777778,0.5359649847221075,1.0,0.5,146,0.0,5760,0,0.0,0,0,0,0,1440,2,16,552,1.0222082217672075,0.0,0.0,,,,4,serial
Contextual,Markov-N,16,3360,12109,8.409027777777778,0.5359649847221075,1.0,0.5,146,0.0,5760,0,0.0,0,0,0,0,1440,2,16,216,1.0222082217672075,0.0,0.0,,,,4,serial
Contextual,DirectWAM-H8,8,3360,14973,10.397916666666667,0.43344687103452884,1.0,0.6666666666666666,160,0.0,8640,0,0.0,0,0,0,0,1440,3,24,1128,1.0228526398739164,0.0,0.0,,,,6,serial
Contextual,DirectWAM-H16,16,3360,14989,10.409027777777778,0.4329841884048302,1.0,0.5,146,0.0,8640,0,0.0,0,0,0,0,1440,2,16,2280,1.0222082217672075,0.0,0.0,,,,6,serial
Contextual,RecursiveWAM,16,3360,14989,10.409027777777778,0.4329841884048302,1.0,0.5,146,0.0,8640,0,0.0,0,0,0,0,1440,2,16,552,1.0222082217672075,0.0,0.0,,,,6,serial
Contextual,Markov-N,16,3360,14989,10.409027777777778,0.4329841884048302,1.0,0.5,146,0.0,8640,0,0.0,0,0,0,0,1440,2,16,216,1.0222082217672075,0.0,0.0,,,,6,serial
Contextual,DirectWAM-H8,8,3360,17849,12.395138888888889,0.3636058042467365,1.0,0.6666666666666666,164,0.0,11520,0,0.0,0,0,0,0,1440,3,24,1128,1.0228526398739164,0.0,0.0,,,,8,serial
Contextual,DirectWAM-H16,16,3360,17869,12.409027777777778,0.36319883597291397,1.0,0.5,146,0.0,11520,0,0.0,0,0,0,0,1440,2,16,2280,1.0222082217672075,0.0,0.0,,,,8,serial
Contextual,RecursiveWAM,16,3360,17869,12.409027777777778,0.36319883597291397,1.0,0.5,146,0.0,11520,0,0.0,0,0,0,0,1440,2,16,552,1.0222082217672075,0.0,0.0,,,,8,serial
Contextual,Markov-N,16,3360,17869,12.409027777777778,0.36319883597291397,1.0,0.5,146,0.0,11520,0,0.0,0,0,0,0,1440,2,16,216,1.0222082217672075,0.0,0.0,,,,8,serial
Contextual,DirectWAM-H8,8,3360,23601,16.389583333333334,0.274988347951358,1.0,0.6666666666666666,172,0.0,17280,0,0.0,0,0,0,0,1440,3,24,1128,1.0228526398739164,0.0,0.0,,,,12,serial
Contextual,DirectWAM-H16,16,3360,23629,16.409027777777776,0.27466249100681367,1.0,0.5,146,0.0,17280,0,0.0,0,0,0,0,1440,2,16,2280,1.0222082217672075,0.0,0.0,,,,12,serial
Contextual,RecursiveWAM,16,3360,23629,16.409027777777776,0.27466249100681367,1.0,0.5,146,0.0,17280,0,0.0,0,0,0,0,1440,2,16,552,1.0222082217672075,0.0,0.0,,,,12,serial
