workload,system,horizon,train_accesses,total_cycles,average_latency,speedup,accuracy,late_prefetch_rate,cycles_hidden,fraction_of_ideal_gain,predictor_overhead,predictor_queue_stalls,average_queue_wait,maximum_queue_wait,dropped_predictions,predictor_queue_depth,port_stalls,update_count,prefetches_issued,bandwidth_bytes,storage_bytes,ideal_speedup,collision_rate,aliasing_rate,counter_bits,signature_bits,table_size
LongHigherOrder,HashedContext,16,3360,13518,9.3875,0.9769196626719929,0.7935393258426966,0.12903225806451613,4048,0.0,4320,0,0.0,0,0,0,0,1440,31,248,4128,1.7164023914738757,0.008373205741626795,0.29473684210526313,8,64,256
LongHigherOrder,HashedContext,16,3360,12434,8.634722222222223,1.0620878237091844,0.9178370786516854,0.20512820512820512,5140,0.0866661312805633,4320,0,0.0,0,0,0,0,1440,39,312,8224,1.7164023914738757,0.003289473684210526,0.09821428571428571,8,64,512
LongHigherOrder,HashedContext,16,3360,12288,8.533333333333333,1.07470703125,0.9339887640449438,0.175,5287,0.10428082337400217,4320,0,0.0,0,0,0,0,1440,40,320,16416,1.7164023914738757,0.0026913875598086126,0.07894736842105263,8,64,1024
LongHigherOrder,HashedContext,16,3360,11929,8.284027777777778,1.107050046106128,0.9669943820224719,0.20930232558139536,5649,0.14942725956831424,4320,0,0.0,0,0,0,0,1440,43,344,32800,1.7164023914738757,0.0014952153110047847,0.0423728813559322,8,64,2048
LongHigherOrder,HashedContext,16,3360,11929,8.284027777777778,1.107050046106128,0.9838483146067416,0.20930232558139536,5649,0.14942725956831424,4320,0,0.0,0,0,0,0,1440,43,344,65568,1.7164023914738757,0.0008971291866028708,0.025,8,64,4096
LongHigherOrder,HashedContext,16,3360,11929,8.284027777777778,1.107050046106128,0.9915730337078652,0.20930232558139536,5649,0.14942725956831424,4320,0,0.0,0,0,0,0,1440,43,344,131104,1.7164023914738757,0.0002990430622009569,0.00819672131147541,8,64,8192
LongHigherOrder,HashedContext,16,3360,11929,8.284027777777778,1.107050046106128,0.9915730337078652,0.20930232558139536,5649,0.14942725956831424,4320,0,0.0,0,0,0,0,1440,43,344,262176,1.7164023914738757,0.0002990430622009569,0.00819672131147541,8,64,16384
