workload,system,horizon,train_accesses,total_cycles,average_latency,speedup,accuracy,late_prefetch_rate,cycles_hidden,fraction_of_ideal_gain,predictor_overhead,predictor_queue_stalls,average_queue_wait,maximum_queue_wait,dropped_predictions,predictor_queue_depth,port_stalls,update_count,prefetches_issued,bandwidth_bytes,storage_bytes,ideal_speedup,collision_rate,aliasing_rate,counter_bits,signature_bits,table_size,issue_interval,throughput_predictions_per_cycle
LongHigherOrder,PipelinedThroughput,16,3360,7694,5.343055555555556,1.7164023914738757,1.0,0.3181818181818182,5565,1.0,0,0,0.0,0,0,16,0,1440,44,352,42768,1.7164023914738757,0.0,0.0,,,,1,1.0
LongHigherOrder,PipelinedThroughput,16,3360,7694,5.343055555555556,1.7164023914738757,1.0,0.3181818181818182,5565,1.0,0,0,0.0,0,0,16,0,1440,44,352,42768,1.7164023914738757,0.0,0.0,,,,2,0.5
LongHigherOrder,PipelinedThroughput,16,3360,7694,5.343055555555556,1.7164023914738757,1.0,0.3181818181818182,5565,1.0,0,0,0.0,0,0,16,0,1440,44,352,42768,1.7164023914738757,0.0,0.0,,,,4,0.25
LongHigherOrder,PipelinedThroughput,16,3360,13088,9.088888888888889,1.009015892420538,1.0,0.8636363636363636,5745,0.012584955784401063,0,1395,3.9956989247311827,4,0,16,0,1440,44,352,42768,1.7164023914738757,0.0,0.0,,,,8,0.125
