workload,system,horizon,train_accesses,total_cycles,average_latency,speedup,accuracy,late_prefetch_rate,cycles_hidden,fraction_of_ideal_gain,predictor_overhead,predictor_queue_stalls,average_queue_wait,maximum_queue_wait,dropped_predictions,predictor_queue_depth,port_stalls,update_count,prefetches_issued,bandwidth_bytes,storage_bytes,ideal_speedup,collision_rate,aliasing_rate,counter_bits,signature_bits,table_size
LongHigherOrder,HashedContext,16,3360,12037,8.359027777777778,1.0971172218991443,0.9831460674157303,0.21428571428571427,5540,0.13556239210667928,4320,0,0.0,0,0,0,0,1440,42,336,65568,1.7164023914738757,0.0008971291866028708,0.025,2,64,4096
LongHigherOrder,HashedContext,16,3360,11929,8.284027777777778,1.107050046106128,0.9838483146067416,0.20930232558139536,5649,0.14942725956831424,4320,0,0.0,0,0,0,0,1440,43,344,65568,1.7164023914738757,0.0008971291866028708,0.025,4,64,4096
LongHigherOrder,HashedContext,16,3360,11929,8.284027777777778,1.107050046106128,0.9838483146067416,0.20930232558139536,5649,0.14942725956831424,4320,0,0.0,0,0,0,0,1440,43,344,65568,1.7164023914738757,0.0008971291866028708,0.025,8,64,4096
LongHigherOrder,HashedContext,16,3360,11929,8.284027777777778,1.107050046106128,0.9838483146067416,0.20930232558139536,5649,0.14942725956831424,4320,0,0.0,0,0,0,0,1440,43,344,65568,1.7164023914738757,0.0008971291866028708,0.025,12,64,4096
