workload,system,horizon,train_accesses,total_cycles,average_latency,speedup,accuracy,late_prefetch_rate,cycles_hidden,fraction_of_ideal_gain,predictor_overhead,predictor_queue_stalls,average_queue_wait,maximum_queue_wait,dropped_predictions,predictor_queue_depth,port_stalls,update_count,prefetches_issued,bandwidth_bytes,storage_bytes,ideal_speedup,collision_rate,aliasing_rate,counter_bits,signature_bits,table_size,selection,selection_cost
LongHigherOrder,Candidate-top1_direct,16,3360,11789,8.186805555555555,1.1201967936211723,1.0,0.3181818181818182,5790,0.16777832549370458,4320,0,0.0,0,0,0,0,1440,44,352,42768,1.7164023914738757,0.0,0.0,,,,top1_direct,0
LongHigherOrder,Candidate-comparator_tree,16,3360,13154,9.134722222222223,1.003953170138361,1.0,0.3181818181818182,5865,0.005518086183699188,5760,0,0.0,0,0,0,0,1440,44,352,42768,1.7164023914738757,0.0,0.0,,,,comparator_tree,1
LongHigherOrder,Candidate-full_sort,16,3360,17353,12.050694444444444,0.7610211490808506,1.0,0.06818181818181818,5986,0.0,10080,0,0.0,0,0,0,0,1440,44,352,42768,1.7164023914738757,0.0,0.0,,,,full_sort,4
