workload,predictor,budget_bytes,storage_bytes,accuracy,speedup,coverage,within_budget,category,horizon,train_fraction,trace_length,prefetch_precision,late_prefetch_rate,mean_lead_time,mean_slack,cache_pollution,bandwidth_bytes,average_memory_latency,total_cycles,cycles_hidden,predictor_overhead,fraction_of_ideal_gain,prediction_attempts,wrong_predictions
binary_tree_size65536_seed0_loads,Markov-N-H16,32768,32768,0.5213498622589532,1.2802710967848583,0.016,True,tree,16,0.7,5000,1.0,0.16666666666666666,1441.0416666666667,1291.0416666666667,0,192,8.066,12099,3415,0,2.022858499606365,1452,695
binary_tree_size65536_seed0_loads,VLDP,32768,7104,0.5675862068965517,1.2503026878682701,0.014666666666666666,True,tree,16,0.7,5000,1.0,0.18181818181818182,1443.9545454545455,1293.9545454545455,0,176,8.259333333333334,12389,3123,0,1.806561309521388,1450,627
binary_tree_size65536_seed0_loads,SPP,32768,1440,0.5808625336927223,1.0768909899888766,0.014666666666666666,True,tree,16,0.7,5000,0.36363636363636365,0.0,1223.5,1073.5,0,176,9.589333333333334,14384,1168,0,0.5549612301319182,1484,622
binary_tree_size65536_seed0_loads,GMC,32768,32768,0.5429657794676807,1.289758534554538,0.016,True,tree,16,0.7,5000,1.0,0.0,1835.9583333333333,1685.9583333333333,0,192,8.006666666666666,12010,3504,0,2.0913341446230715,1315,601
binary_tree_size65536_seed0_loads,HashedContext-H16,65536,65664,0.5558601782042495,1.2217051817966718,0.013333333333333334,True,tree,16,0.7,5000,1.0,0.25,1489.85,1339.85,0,160,8.452666666666667,12679,2831,0,1.600158619810992,1459,648
binary_tree_size65536_seed0_loads,Markov-N-H16,65536,47664,0.5673854447439353,1.2217051817966718,0.013333333333333334,True,tree,16,0.7,5000,1.0,0.2,1543.0,1393.0,0,160,8.452666666666667,12679,2831,0,1.600158619810992,1484,642
binary_tree_size65536_seed0_loads,VLDP,65536,7104,0.5675862068965517,1.2503026878682701,0.014666666666666666,True,tree,16,0.7,5000,1.0,0.18181818181818182,1443.9545454545455,1293.9545454545455,0,176,8.259333333333334,12389,3123,0,1.806561309521388,1450,627
binary_tree_size65536_seed0_loads,SPP,65536,1440,0.5808625336927223,1.0768909899888766,0.014666666666666666,True,tree,16,0.7,5000,0.36363636363636365,0.0,1223.5,1073.5,0,176,9.589333333333334,14384,1168,0,0.5549612301319182,1484,622
binary_tree_size65536_seed0_loads,GMC,65536,52480,0.5633423180592992,1.2503026878682701,0.014666666666666666,True,tree,16,0.7,5000,1.0,0.18181818181818182,1443.9545454545455,1293.9545454545455,0,176,8.259333333333334,12389,3123,0,1.806561309521388,1484,648
graph_bfs_size65536_seed0_loads,HashedContext-H16,2048,2176,0.0,0.9972455375539506,0.436,True,graph,16,0.7,5000,0.0015290519877675841,0.0,2839.0,2689.0,6,5232,122.952,184428,146,0,0.0,1484,1484
graph_bfs_size65536_seed0_loads,Markov-N-H16,2048,2048,0.0,0.9999728150061167,0.0033333333333333335,True,graph,16,0.7,5000,0.0,0.0,0.0,0.0,0,40,122.61666666666666,183925,0,0,0.0,7,7
graph_bfs_size65536_seed0_loads,VLDP,2048,2048,0.0,1.0,0.0,True,graph,16,0.7,5000,0.0,0.0,0.0,0.0,0,0,122.61333333333333,183920,0,0,0.0,0,0
graph_bfs_size65536_seed0_loads,SPP,2048,2048,0.0,1.0,0.0,True,graph,16,0.7,5000,0.0,0.0,0.0,0.0,0,0,122.61333333333333,183920,0,0,0.0,0,0
