workload,category,predictor,horizon,budget_bytes,train_fraction,accuracy,prefetch_precision,coverage,late_prefetch_rate,mean_lead_time,mean_slack,cache_pollution,bandwidth_bytes,average_memory_latency,total_cycles,speedup,cycles_hidden,predictor_overhead,storage_bytes,fraction_of_ideal_gain,trace_length,within_budget,prediction_attempts,wrong_predictions
graph_bfs_size65536_seed0_loads,graph,Markov-N-H2,2,8192,0.7,0.4551282051282051,0.5641025641025641,0.078,0.48484848484848486,99.27272727272727,-50.72727272727273,8,936,119.26666666666667,178900,1.0280603689211851,6237,0,8192,0.13114690686806615,5000,True,156,85
graph_bfs_size65536_seed0_loads,graph,Markov-N-H4,4,8192,0.7,0.11666666666666667,0.1276595744680851,0.03133333333333333,0.0,429.0,279.0,2,376,122.20733333333334,183311,1.0033222228889702,876,0,8192,0.05008423054511783,5000,True,60,53
graph_bfs_size65536_seed0_loads,graph,Markov-N-H8,8,8192,0.7,0.2727272727272727,0.23076923076923078,0.017333333333333333,0.0,570.6666666666666,420.6666666666667,1,208,122.04666666666667,183070,1.0046430327197247,876,0,8192,0.010668901614357454,5000,True,33,24
graph_bfs_size65536_seed0_loads,graph,Markov-N-H16,16,8192,0.7,0.07407407407407407,0.08695652173913043,0.015333333333333332,0.0,1232.0,1082.0,1,184,122.434,183651,1.001464734741439,292,0,8192,0.009429555684210068,5000,True,27,25
graph_bfs_size65536_seed0_loads,graph,VLDP,16,8192,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,122.61333333333333,183920,1.0,0,0,8192,0.0,5000,True,0,0
graph_bfs_size65536_seed0_loads,graph,SPP,16,8192,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,122.61333333333333,183920,1.0,0,0,8192,0.0,5000,True,0,0
graph_bfs_size65536_seed0_loads,graph,GMC,16,8192,0.7,0.16897746967071056,0.15166835187057634,0.6593333333333333,0.0,1465.3133333333333,1315.3133333333333,85,7912,109.846,164769,1.1162293878096001,21900,0,8192,0.7482525357564646,5000,True,1154,959
graph_bfs_size65536_seed0_loads,graph,DirectWAM-H8,8,8192,0.7,0.45436893203883494,0.5034090909090909,0.5866666666666667,0.004514672686230248,595.8397291196388,445.83972911963883,46,7040,84.85533333333333,127283,1.4449690846381684,64447,0,593280,1.0224634785078228,5000,False,1030,562
graph_bfs_size65536_seed0_loads,graph,DirectWAM-H16,16,8192,0.7,0.22602739726027396,0.22326674500587543,0.5673333333333334,0.0,1608.4105263157894,1458.4105263157894,148,6808,105.714,158571,1.1598589906098846,27740,0,1258824,1.0291278078764454,5000,False,1022,791
graph_bfs_size65536_seed0_loads,graph,DirectWAM-H32,32,8192,0.7,0.26514399205561073,0.2998790810157195,0.5513333333333333,0.0,3038.7580645161293,2888.7580645161293,19,6616,101.226,151839,1.2112830037078748,36208,0,2576160,1.0224197724033808,5000,False,1007,740
graph_bfs_size65536_seed0_loads,graph,HashedContext-H8,8,8192,0.7,0.0006711409395973154,0.007238883143743537,0.6446666666666667,0.0,2958.285714285714,2808.285714285714,58,7736,122.72333333333333,184085,0.9991036749327756,1022,0,8256,0.0,5000,True,1490,1489
graph_bfs_size65536_seed0_loads,graph,HashedContext-H16,16,8192,0.7,0.0,0.009384775808133473,0.6393333333333333,0.0,2326.6666666666665,2176.6666666666665,58,7672,122.37666666666667,183565,1.001933919864898,1314,0,8320,0.012450039272599528,5000,True,1484,1484
graph_bfs_size65536_seed0_loads,graph,HashedContext-H32,32,8192,0.7,0.0,0.01583949313621964,0.6313333333333333,0.06666666666666667,2033.4666666666667,1883.4666666666667,63,7576,122.104,183156,1.004171307519273,2044,0,8448,0.02018537795106488,5000,True,1468,1468
graph_bfs_size65536_seed0_loads,graph,RecursiveWAM,16,8192,0.7,0.28934506353861195,0.2889137737961926,0.5953333333333334,0.0,1469.5348837209303,1319.5348837209303,90,7144,99.49,149235,1.2324186685429022,37668,0,263328,1.4962468732886471,5000,False,1023,727
graph_bfs_size65536_seed0_loads,graph,DirectWAM-H16-miss-only,16,8192,0.7,0.0,0.3070588235294118,0.5666666666666667,0.0,2195.4750957854408,2045.4750957854405,74,6800,101.14933333333333,151724,1.2122011020010017,38106,0,896304,1.3660917918854518,5000,False,1017,1017
graph_dfs_size16384_seed0_loads,graph,NextLine,1,8192,0.7,0.0,0.7015706806282722,0.5093333333333333,0.5634328358208955,142.44962686567163,-7.550373134328358,108,6112,57.6,86400,1.4523611111111112,36910,0,8,0.0,5000,True,1499,1499
graph_dfs_size16384_seed0_loads,graph,Stride,1,8192,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,83.656,125484,1.0,0,0,16,0.0,5000,True,0,0
graph_dfs_size16384_seed0_loads,graph,Markov-1,16,8192,0.7,0.004434589800443459,0.10317460317460317,0.084,0.07692307692307693,2001.8461538461538,1851.8461538461538,54,1008,83.24866666666667,124873,1.0048929712587988,1889,0,8192,0.9886177171540059,5000,True,451,449
graph_dfs_size16384_seed0_loads,graph,Markov-N-H2,2,8192,0.7,0.0,0.08571428571428572,0.04666666666666667,0.0,3396.0,3246.0,35,560,83.50133333333333,125252,1.0018522658320825,876,0,8192,0.20548914868446116,5000,True,242,242
graph_dfs_size16384_seed0_loads,graph,Markov-N-H4,4,8192,0.7,0.0,0.20754716981132076,0.035333333333333335,0.09090909090909091,2298.3636363636365,2148.3636363636365,20,424,83.41466666666666,125122,1.0028931762599702,1485,0,8192,0.3009121206489001,5000,True,150,150
graph_dfs_size16384_seed0_loads,graph,Markov-N-H8,8,8192,0.7,0.0,0.14285714285714285,0.018666666666666668,0.0,3896.75,3746.75,13,224,83.608,125412,1.000574107740886,584,0,8192,0.08488417904125639,5000,True,90,90
graph_dfs_size16384_seed0_loads,graph,Markov-N-H16,16,8192,0.7,0.023255813953488372,0.125,0.010666666666666666,0.5,689.0,539.0,7,128,83.54333333333334,125315,1.001348601524159,283,0,8192,0.27248297397353466,5000,True,43,42
graph_dfs_size16384_seed0_loads,graph,VLDP,16,8192,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,83.656,125484,1.0,0,0,8192,0.0,5000,True,0,0
graph_dfs_size16384_seed0_loads,graph,SPP,16,8192,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,83.656,125484,1.0,0,0,8192,0.0,5000,True,0,0
graph_dfs_size16384_seed0_loads,graph,GMC,16,8192,0.7,0.5238095238095238,0.6,0.013333333333333334,0.0,1830.1666666666667,1680.1666666666667,7,160,82.57466666666667,123862,1.0130952188726163,1752,0,8192,2.645869902505033,5000,True,21,10
graph_dfs_size16384_seed0_loads,graph,DirectWAM-H8,8,8192,0.7,0.004021447721179625,0.10426540284360189,0.14066666666666666,0.0,2830.6363636363635,2680.6363636363635,65,1688,83.094,124641,1.006763424555323,3212,0,628752,1.0,5000,False,746,743
graph_dfs_size16384_seed0_loads,graph,DirectWAM-H16,16,8192,0.7,0.0026954177897574125,0.10096153846153846,0.13866666666666666,0.0,3057.9523809523807,2907.9523809523807,92,1664,83.244,124866,1.0049493056556629,3066,0,1294056,1.0,5000,False,742,740
graph_dfs_size16384_seed0_loads,graph,DirectWAM-H32,32,8192,0.7,0.0013623978201634877,0.13106796116504854,0.13733333333333334,0.0,3341.1111111111113,3191.1111111111113,54,1648,82.40133333333333,123602,1.0152262908367178,3942,0,2610816,1.0,5000,False,734,733
graph_dfs_size16384_seed0_loads,graph,HashedContext-H8,8,8192,0.7,0.0,0.08403361344537816,0.31733333333333336,0.05,2451.0,2301.0,113,3808,82.888,124332,1.009265514911688,5548,0,8256,1.3699442990601347,5000,True,1492,1492
graph_dfs_size16384_seed0_loads,graph,HashedContext-H16,16,8192,0.7,0.0026954177897574125,0.10465116279069768,0.344,0.0,2363.259259259259,2213.259259259259,92,4128,81.84266666666667,122764,1.0221563324753185,7884,0,8320,4.476654710134487,5000,True,1484,1480
graph_dfs_size16384_seed0_loads,graph,HashedContext-H32,32,8192,0.7,0.004103967168262654,0.09791666666666667,0.32,0.06382978723404255,2238.276595744681,2088.276595744681,103,3840,82.65733333333333,123986,1.0120820092591098,6557,0,8448,0.793496550714401,5000,True,1462,1456
graph_dfs_size16384_seed0_loads,graph,RecursiveWAM,16,8192,0.7,0.012129380053908356,0.11312217194570136,0.14733333333333334,0.0,2813.4,2663.4,91,1768,83.09,124635,1.006811890720905,3650,0,294648,1.3763325999296363,5000,False,742,733
graph_dfs_size16384_seed0_loads,graph,DirectWAM-H16-miss-only,16,8192,0.7,0.0026954177897574125,0.0,0.352,0.0,0.0,0.0,19,4224,84.152,126228,0.9941059036030041,0,0,682920,0.0,5000,False,742,740
hash_table_size65536_seed0_loads,hash,NextLine,1,8192,0.7,0.00333555703802535,0.005120702267739576,0.9113333333333333,0.5714285714285714,821.2857142857143,671.2857142857143,57,10936,138.718,208077,0.9960447334400246,442,0,8,0.0,5000,True,1499,1494
hash_table_size65536_seed0_loads,hash,Stride,1,8192,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,138.16933333333333,207254,1.0,0,0,16,0.0,5000,True,0,0
hash_table_size65536_seed0_loads,hash,Markov-1,16,8192,0.7,0.0,0.0,0.030666666666666665,0.0,0.0,0.0,1,368,138.2,207300,0.9997780993728895,0,0,8192,0.0,5000,True,57,57
hash_table_size65536_seed0_loads,hash,Markov-N-H2,2,8192,0.7,0.0,0.0,0.018666666666666668,0.0,0.0,0.0,1,224,138.188,207282,0.9998649183238294,0,0,8192,0.0,5000,True,35,35
hash_table_size65536_seed0_loads,hash,Markov-N-H4,4,8192,0.7,0.0,0.0,0.008,0.0,0.0,0.0,0,96,138.17733333333334,207266,0.9999421033840572,0,0,8192,0.0,5000,True,14,14
hash_table_size65536_seed0_loads,hash,Markov-N-H8,8,8192,0.7,0.0,0.0,0.0033333333333333335,0.0,0.0,0.0,0,40,138.17266666666666,207259,0.9999758755952697,0,0,8192,0.0,5000,True,7,7
hash_table_size65536_seed0_loads,hash,Markov-N-H16,16,8192,0.7,0.0,0.0,0.0013333333333333333,0.0,0.0,0.0,0,16,138.17066666666668,207256,0.999990350098429,0,0,8192,0.0,5000,True,2,2
hash_table_size65536_seed0_loads,hash,VLDP,16,8192,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,138.16933333333333,207254,1.0,0,0,8192,0.0,5000,True,0,0
