workload,category,train_fraction,horizon,oracle_speedup,ideal_wam_speedup,baseline_cycles,oracle_cycles,depth,empirical_oracle_accuracy,coverage,perfect_speedup,perfect_cycles
graph_bfs_size65536_seed0_loads,graph,0.8,1,0.9426058053239348,0.9654423525613747,131584,139596,,,,,
graph_bfs_size65536_seed0_loads,graph,0.8,4,3.5493216087179347,1.0679912667299747,131584,37073,,,,,
graph_bfs_size65536_seed0_loads,graph,0.8,8,6.517931444422429,1.423776496175029,131584,20188,,,,,
graph_bfs_size65536_seed0_loads,graph,0.8,16,3.3675589906331576,1.150732850596425,131584,39074,,,,,
graph_bfs_size65536_seed0_loads,graph,0.8,32,2.4830917874396135,1.1993255252244452,131584,52992,,,,,
graph_bfs_size65536_seed0_loads,,,1,,,,,1,0.0,0.6891260840560374,0.878965428251914,209246
graph_bfs_size65536_seed0_loads,,,4,,,,,1,0.0,0.6891711229946524,3.3207547169811322,55385
graph_bfs_size65536_seed0_loads,,,8,,,,,1,0.0,0.6896782841823056,6.199898870723074,29665
graph_bfs_size65536_seed0_loads,,,16,,,,,1,0.0,0.6880053908355795,3.4262295081967213,53680
graph_bfs_size65536_seed0_loads,,,32,,,,,1,0.0,0.6852861035422343,2.4566558918601236,74866
graph_bfs_size65536_seed0_loads,,,1,,,,,2,0.0,0.5276851234156104,0.878965428251914,209246
graph_bfs_size65536_seed0_loads,,,4,,,,,2,0.0,0.5280748663101604,3.3207547169811322,55385
graph_bfs_size65536_seed0_loads,,,8,,,,,2,0.0,0.5281501340482574,6.199898870723074,29665
graph_bfs_size65536_seed0_loads,,,16,,,,,2,0.0,0.5269541778975741,3.4262295081967213,53680
graph_bfs_size65536_seed0_loads,,,32,,,,,2,0.0,0.5245231607629428,2.4566558918601236,74866
graph_bfs_size65536_seed0_loads,,,1,,,,,4,0.0,0.2541694462975317,0.878965428251914,209246
graph_bfs_size65536_seed0_loads,,,4,,,,,4,0.0,0.25467914438502676,3.3207547169811322,55385
graph_bfs_size65536_seed0_loads,,,8,,,,,4,0.0,0.2540214477211796,6.199898870723074,29665
graph_bfs_size65536_seed0_loads,,,16,,,,,4,0.0,0.2526954177897574,3.4262295081967213,53680
graph_bfs_size65536_seed0_loads,,,32,,,,,4,0.0,0.25204359673024523,2.4566558918601236,74866
graph_bfs_size65536_seed0_loads,,,1,,,,,8,0.0,0.0,0.878965428251914,209246
graph_bfs_size65536_seed0_loads,,,4,,,,,8,0.0,0.0,3.3207547169811322,55385
graph_bfs_size65536_seed0_loads,,,8,,,,,8,0.0,0.0,6.199898870723074,29665
graph_bfs_size65536_seed0_loads,,,16,,,,,8,0.0,0.0,3.4262295081967213,53680
graph_bfs_size65536_seed0_loads,,,32,,,,,8,0.0,0.0,2.4566558918601236,74866
graph_bfs_size65536_seed0_loads,,,1,,,,,16,0.0,0.0,0.878965428251914,209246
graph_bfs_size65536_seed0_loads,,,4,,,,,16,0.0,0.0,3.3207547169811322,55385
graph_bfs_size65536_seed0_loads,,,8,,,,,16,0.0,0.0,6.199898870723074,29665
graph_bfs_size65536_seed0_loads,,,16,,,,,16,0.0,0.0,3.4262295081967213,53680
graph_bfs_size65536_seed0_loads,,,32,,,,,16,0.0,0.0,2.4566558918601236,74866
graph_dfs_size16384_seed0_loads,graph,0.5,1,0.6566728929211298,0.992948613259297,206718,314796,,,,,
graph_dfs_size16384_seed0_loads,graph,0.5,4,2.17248011097916,1.0021913451562545,206718,95153,,,,,
graph_dfs_size16384_seed0_loads,graph,0.5,8,4.14480490836909,1.0108459657701712,206718,49874,,,,,
graph_dfs_size16384_seed0_loads,graph,0.5,16,3.186257282900213,1.0025461582109965,206718,64878,,,,,
