entropy_threshold,accuracy,speedup,precision
0.0,1.0,0.6472215237616293,1.0
0.5,1.0,0.6472215237616293,1.0
1.0,1.0,0.6472215237616293,1.0
1.5,1.0,0.6472215237616293,1.0
2.0,1.0,0.6472215237616293,1.0
