support_k,accuracy,speedup,precision
0,1.0,0.6472215237616293,1.0
1,1.0,0.6472215237616293,1.0
4,1.0,0.6472215237616293,1.0
16,1.0,0.6472215237616293,1.0
64,1.0,0.6472215237616293,1.0
